id;sifra_postupka;sifra_ponude;broj_partije;naziv_ponudjaca;naziv_proizvodjaca;zastceni_naziv;ponudjena_vrijednost;rok_isporuke
1;77033;65484;74446;withdrawal Fully-configurable;Group;Ergonomic mobile engage;82343;5965
2;50061;86351;52266;relationships;Right-sized;Program Account Fresh;22478;55148
3;56619;13388;75152;blue Wooden;Kroon;real-time cyan JBOD;63640;10510
4;35789;1774;42870;Salad;national Turnpike Markets;Central Generic;25942;52843
5;82844;6021;59400;incentivize exploit Maryland;Delaware Accountability;connecting Cotton Delaware;79413;48515
6;14238;11473;22429;Benin e-tailers Monaco;Montana Ukraine Nebraska;transform auxiliary;78118;59385
7;87052;15656;1234;turquoise Chile;Maine;reinvent Toys;39012;7055
8;66810;75543;23274;Gorgeous;Account;Savings Cheese payment;20286;57424
9;837;35964;11723;Metal Incredible Cambridgeshire;bluetooth;applications Bedfordshire XML;6529;1391
10;37277;15624;91090;International Avon utilize;Specialist;fresh-thinking;21053;71509
