id;sifra_postupka;broj_tendera;opis_postupka;vrsta_postupka;datum_objave
1;28425;open-source Refined Brook;models artificial;Buckinghamshire Shoes Massachusetts;2021-05-14
2;28352;Table;Granite GB Iowa;Realigned Gorgeous firmware;2021-05-13
3;4059;Liaison;International Architect;engine;2021-05-14
4;74561;systems fuchsia Bike;Sports methodologies;port feed withdrawal;2021-05-14
5;30008;Borders Shirt;Jersey;real-time;2021-05-14
6;68104;Island;black Granite bi-directional;Investment Clothing Burg;2021-05-14
7;49067;Loan;synergies;Fresh;2021-05-14
8;6517;Checking;Rustic compress Regional;firewall Cambridgeshire Kentucky;2021-05-13
9;58648;Chair of incubate;red Tools Investor;Account Washington Quality;2021-05-14
10;10391;connecting;Dynamic back-end global;York open-source user-facing;2021-05-14
