id;sifra_postupka;broj_partije;atc;inn;farmaceutski_oblik_lijeka;jacina_lijeka;trazena_kolicina;pakovanje;procijenjena_vrijednost
1;17231;27313;Cape;Loan Saudi Borders;model leverage sensor;protocol Paraguay;99512;iterate;66548
2;39200;32443;Helena scalable frame;Iowa;intermediate applications;Product Computer;44344;green Chair;42128
3;71590;42107;haptic Electronics gold;Palladium Liaison;Checking yellow;UIC-Franc killer Mandatory;84280;hardware RAM Handmade;35234
4;35752;20852;withdrawal override Manager;Associate;Practical cyan;B2C;12197;Usability interface Unbranded;53752
5;85284;5070;Branding;Operations;generate Islands;Won Dynamic;79142;web-readiness;5092
6;77443;27130;optimizing Manager;payment;modular Orchestrator Comoro;Dynamic Designer;95801;global;44604
7;4376;96465;index visualize;Bike Facilitator portals;Salad;plug-and-play;36475;online;97039
8;37445;84479;Rhode;workforce demand-driven;Representative Movies;Mills efficient;9022;deposit zero Bedfordshire;65907
9;26634;64705;non-volatile Dynamic Fish;granular;Nebraska Investment;Incredible seize;41517;Investment;62231
10;83943;67934;ROI;deposit Card Account;whiteboard Supervisor Wallis;Salad;72867;scale;88445
